StateCode,State,CongressionalDistrict,County,SubPopulation,TotalPopulation,PercentofCD,PercentofTotal
1,AL,1,Baldwin AL,35760.725,182265,0.2503,0.1962
1,AL,1,Clarke AL,1842.18426,8592.148,0.0129,0.2144
1,AL,1,Escambia AL,8288.667,38319,0.058,0.2163
1,AL,1,Mobile AL,88221.305,412992,0.6174,0.2136
1,AL,1,Monroe AL,4972.479,23068,0.0348,0.2156
1,AL,1,Washington AL,3804.393,17581,0.0266,0.2164
1,AL,2,Autauga AL,9569.008,54571,0.0768,0.1753
1,AL,2,Barbour AL,5587.686,27457,0.0448,0.2035
1,AL,2,Bullock AL,2252.458,10914,0.0181,0.2064
1,AL,2,Butler AL,3984.616,20947,0.032,0.1902
1,AL,2,Coffee AL,8839.265,49948,0.0709,0.177
1,AL,2,Conecuh AL,2872.581,13228,0.0231,0.2172
1,AL,2,Covington AL,6675.824,37765,0.0536,0.1768
1,AL,2,Crenshaw AL,2621.12,13906,0.021,0.1885
1,AL,2,Dale AL,8852.75,50251,0.071,0.1762
1,AL,2,Elmore AL,13938.685,79303,0.1119,0.1758
1,AL,2,Geneva AL,4880.499,26790,0.0392,0.1822
1,AL,2,Henry AL,3296.08,17302,0.0265,0.1905
1,AL,2,Houston AL,17828.562,101547,0.1431,0.1756
1,AL,2,Montgomery AL,26725.7808,145994.734,0.2145,0.1831
1,AL,2,Pike AL,6677.97,32899,0.0536,0.203
1,AL,3,Calhoun AL,18949.032,118572,0.1528,0.1598
1,AL,3,Chambers AL,6360.836,34215,0.0513,0.1859
1,AL,3,Cherokee AL,4429.286216,24215.624,0.0357,0.1829
1,AL,3,Clay AL,2539.322,13932,0.0205,0.1823
1,AL,3,Cleburne AL,2716.484,14972,0.0219,0.1814
1,AL,3,Lee AL,26046.02,140247,0.21,0.1857
1,AL,3,Macon AL,4415.242,21452,0.0356,0.2058
1,AL,3,Montgomery AL,5749.873953,31855.57,0.0464,0.1805
1,AL,3,Randolph AL,4192.834,22913,0.0338,0.183
1,AL,3,Russell AL,10784.696,52947,0.0869,0.2037
1,AL,3,St. Clair AL,15122.989,83593,0.1219,0.1809
1,AL,3,Talladega AL,15117.824,82291,0.1219,0.1837
1,AL,3,Tallapoosa AL,7623.292,41616,0.0615,0.1832
1,AL,4,Blount AL,889.942715,4889.69,0.0068,0.182
1,AL,4,Cherokee AL,324.560784,1773.376,0.0025,0.183
1,AL,4,Colbert AL,9820.884,54428,0.0752,0.1804
1,AL,4,Cullman AL,15982.806,80406,0.1224,0.1988
1,AL,4,DeKalb AL,13796.502,71109,0.1057,0.194
1,AL,4,Etowah AL,21835.814,104430,0.1673,0.2091
1,AL,4,Fayette AL,3191.158,17241,0.0244,0.1851
1,AL,4,Franklin AL,5851.926,31704,0.0448,0.1846
1,AL,4,Jackson AL,39.50487,203.007,3.00E-04,0.1946
1,AL,4,Lamar AL,2710.212,14564,0.0208,0.1861
1,AL,4,Lawrence AL,6315.008,34339,0.0484,0.1839
1,AL,4,Marion AL,5679.236,30776,0.0435,0.1845
1,AL,4,Marshall AL,17416.666,93019,0.1334,0.1872
1,AL,4,Tuscaloosa AL,10069.88013,52428.962,0.0771,0.1921
1,AL,4,Walker AL,11750.881,67023,0.09,0.1753
1,AL,4,Winston AL,4879.424,24484,0.0374,0.1993
1,AL,5,Jackson AL,10350.15513,53023.993,0.0847,0.1952
1,AL,5,Lauderdale AL,16701.483,92709,0.1367,0.1801
1,AL,5,Limestone AL,12488.684,82782,0.1022,0.1509
1,AL,5,Madison AL,60677.738,334811,0.4967,0.1812
1,AL,5,Morgan AL,21933.376,119490,0.1796,0.1836
1,AL,6,Bibb AL,4276.444,22915,0.0394,0.1866
1,AL,6,Blount AL,9447.564285,52432.31,0.087,0.1802
1,AL,6,Chilton AL,8011.74,43643,0.0738,0.1836
1,AL,6,Coosa AL,2112.186,11539,0.0194,0.183
1,AL,6,Jefferson AL,52557.11694,357205.953,0.4838,0.1471
1,AL,6,Shelby AL,32218,195085,0.2966,0.1651
1,AL,7,Choctaw AL,2978.667,13859,0.0231,0.2149
1,AL,7,Clarke AL,3702.28674,17240.852,0.0288,0.2147
1,AL,7,Dallas AL,8248.28,43820,0.0641,0.1882
1,AL,7,Greene AL,1703.882,9045,0.0132,0.1884
1,AL,7,Hale AL,2985.622,15760,0.0232,0.1894
1,AL,7,Jefferson AL,54845.51606,301260.047,0.4261,0.1821
1,AL,7,Lowndes AL,2222.04,11299,0.0173,0.1967
1,AL,7,Marengo AL,3947.706,21027,0.0307,0.1877
1,AL,7,Montgomery AL,9393.137037,51513.98,0.073,0.1823
1,AL,7,Perry AL,1978.394,10591,0.0154,0.1868
