,district,return_item,total_returns,0-30,30-75,75-150,150-500,500-inf,state,state_fips
0,1,Return Count,291355,141044,85948,45510,13547,1479,AL,01
1,1,Form 1040EZ,29907,23097,6008,760,0,0,AL,01
2,1,Form 1040A,65312,41747,18764,3033,0,0,AL,01
3,1,Form 1040,195847,76098,61102,40564,13515,1476,AL,01
4,1,Joint Returns,104312,18920,34505,36161,11998,1299,AL,01
5,1,Single Returns,120251,78130,32278,6413,1187,132,AL,01
6,1,Paid Preparer Returns,169087,79437,48292,27557,9794,1370,AL,01
7,1,Returns with Exemptions,273159,125125,85798,45499,13051,0,AL,01
8,1,Total Exemption Amt.,2312842150,957279950,717531900,475440000,138850300,0,AL,01
9,1,Wages Ret.,237858,111511,73075,39447,11788,1277,AL,01
10,1,Wages Amt.,10851795425,1625789928,3251131431,3460177864,1916838538,570831511,AL,01
11,1,Taxable Interest Ret.,65776,15102,19936,19239,8977,1350,AL,01
12,1,Taxable Interest Amt.,108523596,11392384,19017023,24871942,26629529,20903558,AL,01
13,1,Tax Exempt Interest Ret.,7257,987,1669,2124,1784,536,AL,01
14,1,Tax Exempt Interest Amt.,67669323,3470821,10665240,15259240,19158767,17081601,AL,01
15,1,Taxable Dividends Ret.,38066,8213,10560,11035,6361,1111,AL,01
16,1,Taxable Dividend Amt.,243260316,16048923,33505548,53793888,71876252,64060621,AL,01
17,1,State Refund Ret.,41561,3109,13624,16460,7358,861,AL,01
18,1,State Refund Amt.,44916631,1462468,8515645,14296536,11616019,7831189,AL,01
19,1,Schedule C Prof./Loss Ret.,53452,27611,12628,8101,3253,457,AL,01
20,1,Schedule C Prof./Loss Amt.,473855794,164050791,61716275,87075008,127313714,44532891,AL,01
21,1,Capital Gain/Loss Ret.,33627,6862,8672,9705,6094,1188,AL,01
22,1,Capital Gain/Loss Amt.,604973420,7696097,26509489,68513682,143261570,351373989,AL,01
23,1,Taxable IRA Dist. Ret.,26289,6954,8574,7388,2801,234,AL,01
24,1,Taxable IRA Dist. Amt.,454595296,47316510,103299725,167775775,119992584,11275613,AL,01
25,1,Taxable Pension Ret.,59422,19044,20625,14788,4220,264,AL,01
26,1,Taxable Pension Amt.,1347759166,203689915,439888039,470844860,210658954,17100088,AL,01
27,1,Farm Prof./Loss Ret.,3650,664,1080,1108,466,116,AL,01
28,1,Farm Prof./Loss Amt.,-37043354,-4767059,-8214304,-7491020,-5286158,-2680768,AL,01
29,1,Unemployment Comp. Ret.,7908,4127,2365,1186,200,0,AL,01
30,1,Unemployment Comp. Amt.,25534142,12451292,7871808,4281184,832236,0,AL,01
31,1,Tax. Soc. Sec. Ret.,43649,9261,19046,11697,3313,310,AL,01
32,1,Tax. Soc. Sec. Amt.,587385731,23251781,215031827,253599064,86582496,8700328,AL,01
33,1,Student Interest Ded. Ret.,19980,4513,8713,6355,289,0,AL,01
34,1,Student Interest Ded. Amt.,20933121,4068202,9411761,7259599,63831,0,AL,01
35,1,S.E. Health Ded. Ret.,7170,1751,1696,1534,1509,424,AL,01
36,1,S.E. Health Ded. Amt.,46994633,5966513,8760441,10878719,15148536,4874827,AL,01
37,1,Keogh Pay. Ret.,1026,44,120,208,501,143,AL,01
38,1,Keogh Pay. Amt.,22663256,198427,1188772,2585608,12278271,6379305,AL,01
39,1,Alimony Paid Ret.,842,384,353,79,11,0,AL,01
40,1,Alimony Paid Amt.,13805375,3364095,6134908,2673004,772465,0,AL,01
41,1,Adjustments Ret.,71322,28963,20323,15109,5150,924,AL,01
42,1,Adjustments Amt.,207999307,33994706,43513130,46669509,52588952,27978444,AL,01
43,1,Total Itemized Ded. Ret.,74351,10282,25727,24588,11534,1386,AL,01
44,1,Total Itemized Ded. Amt.,1663744874,156750453,435798530,526988584,368932203,152879582,AL,01
45,1,Child Tax Credit Ret.,45418,8295,22891,13990,205,0,AL,01
46,1,Child Tax Credit Amt.,52917896,3527294,28020572,21208879,146179,0,AL,01
47,1,Child Care Cred. Ret.,13189,2385,5072,4529,1150,11,AL,01
48,1,Child Care Cred. Amt.,6991908,958372,2718170,2617029,663096,9126,AL,01
49,1,Ed Credit Ret.,21008,7527,8062,4703,655,0,AL,01
50,1,Ed. Credit Amt.,21647970,4509493,9726565,6671754,723804,0,AL,01
51,1,For. Tax Credit Ret.,9294,497,2204,3149,2646,676,AL,01
52,1,For. Tax Credit Amt.,10307181,23237,220211,690009,6257029,3112859,AL,01
