gross_income,employee_payroll_tax,employer_payroll_tax,ordinary_income_after_401k,agi,taxable_income,deduction_type,deductions,personal_exemption_amt,pease_limitation_amt,income_tax_before_credits,qualified_income_tax,selected_tax_before_credits,amt,income_tax_before_credits_with_amt,ctc,actc,eitc,income_tax_after_nonrefundable_credits,income_tax_after_credits,tax_burden,tax_wedge,avg_effective_tax_rate,avg_effective_tax_rate_wo_payroll
30000,2295.0,2295.0,27400,27400,16750.0,standard,6500.0,4150.0,0,2036.25,2036.25,2036.25,0,2036.25,0,0,0,2036.25,2036.25,4331.25,6626.25,0.1444,0.0679
52000,3978.0,3978.0,50500,50500,28500.0,standard,9550.0,12450.0,0,3595.0,3595.0,3595.0,0,3595.0,0,2000.0,0,3595.0,1595.0,5573.0,9551.0,0.1072,0.0307
85000,6502.5,6502.5,79500,79500,49900.0,standard,13000.0,16600.0,0,6532.5,6532.5,6532.5,0,6532.5,0,2000.0,0,6532.5,4532.5,11035.0,17537.5,0.1298,0.0533
165000,12622.5,12622.5,145000,145000,102660.0,itemized,25740,16600.0,0,16972.5,16972.5,16972.5,0,16972.5,0,250.0,0,16972.5,16722.5,29345.0,41967.5,0.1778,0.1013
325000,18016.9,17341.9,288000,288000,222425.0,itemized,48975,16600.0,0,48902.0,48902.0,48902.0,4710.0,53612.0,0,0,0,53612.0,53612.0,71628.9,88970.8,0.2204,0.165
2000000,52729.4,36979.4,1981500,1981500,1808992.0,itemized,172508.0,0,49845.0,660505.03,660505.03,660505.03,0,660505.03,0,0,0,660505.03,660505.03,713234.43,750213.83,0.3566,0.3303
1000000,24529.4,19579.4,781500,981500,882933.0,itemized,98567.0,0,19845.0,293785.67,293785.67,293785.67,0,293785.67,0,0,0,293785.67,293785.67,318315.07,337894.47,0.3183,0.2938
48000,2386.8,2386.8,31200,35000.0,11100.0,standard,15600.0,8300.0,0,1110.0,1110.0,1110.0,0,1110.0,0,0,0,1110.0,1110.0,3496.8,5883.6,0.0728,0.0231
325000,13366.9,12691.9,325000,325000,260239.0,itemized,48825.0,15936.0,150.0,60604.37,60604.37,60604.37,5957.629999999997,66562.0,0,0,0,66562.0,66562.0,79928.9,92620.8,0.2459,0.2048
25000,1912.5,1912.5,24500,24500,0,standard,13000.0,16600.0,0,0,0.0,0,0,0,0,2000.0,5601.637767482903,0,-7601.64,-5689.14,-3776.64,-0.2276,-0.3041
1460000,44258.8,34808.8,1263000,1423000,1383090.0,itemized,39910.0,0,33090.0,491847.84,480087.84,480087.84,0,480087.84,0,0,0,480087.84,480087.84,524346.64,559155.44,0.3591,0.3288
160000,0.0,0.0,-37000,123000,41700.0,itemized,73000,8300.0,0,5302.5,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
47184,765.0,765.0,10000,15000,0,itemized,29500,8300.0,0,0,0.0,0,0,0,0,0,520.0,0,-520.0,245.0,1010.0,0.0052,-0.011
200,7.65,7.65,100,200,0,standard,6500.0,4150.0,0,0,0.0,0,0,0,0,0,7.647058823529412,0,-7.65,0.0,7.65,0.0,-0.0382
20000,765.0,765.0,10000,20000,9350.0,standard,6500.0,4150.0,0,935.0,0.0,0.0,0,0.0,0,0,406.05882352941177,0,-406.06,358.94,1123.94,0.0179,-0.0203
2000,153.0,153.0,2000,2000,0,standard,9550.0,12450.0,0,0,0.0,0,0,0,2000.0,0,800.0,0,-800.0,-647.0,-494.0,-0.3235,-0.4
