state_fips,district,income,avg_income_ALL,pre-tcja-tax,current-law-tax,total_returns
1,1,0,5691.0,6048.0,6070.0,19411.0
1,1,1,16786.0,18887.0,19050.0,38531.0
1,1,2,36023.0,32444.0,33277.0,31228.0
1,1,3,61308.0,51966.0,53297.0,16493.0
1,1,4,86475.0,72150.0,74025.0,10356.0
1,1,5,132265.0,106179.0,109188.0,12441.0
1,1,6,465137.0,343954.0,368548.0,3410.0
1,2,0,5636.0,6047.0,6071.0,5592.0
1,2,1,17021.0,19245.0,19401.0,11118.0
1,2,2,35748.0,32668.0,33563.0,9794.0
1,2,3,61447.0,52127.0,53505.0,4786.0
1,2,4,86481.0,72208.0,74156.0,3024.0
1,2,5,131896.0,105928.0,109085.0,3754.0
1,2,6,414713.0,310568.0,333256.0,1019.0
1,3,0,5613.0,6013.0,6035.0,5672.0
1,3,1,17071.0,18612.0,18831.0,10237.0
1,3,2,35876.0,32490.0,33339.0,9753.0
1,3,3,61371.0,52139.0,53460.0,5063.0
1,3,4,86391.0,72279.0,74097.0,3071.0
1,3,5,129975.0,104877.0,107702.0,3474.0
1,3,6,409025.0,307489.0,329870.0,796.0
1,4,0,5517.0,5921.0,5945.0,4808.0
1,4,1,17174.0,18721.0,18954.0,8879.0
1,4,2,35780.0,33110.0,34002.0,8121.0
1,4,3,61437.0,52513.0,53844.0,4114.0
1,4,4,86397.0,72503.0,74386.0,2525.0
1,4,5,129280.0,104305.0,107296.0,2632.0
1,4,6,435782.0,324124.0,347316.0,579.0
1,5,0,5328.0,5636.0,5657.0,14602.0
1,5,1,17144.0,18690.0,18867.0,22943.0
1,5,2,35948.0,32780.0,33659.0,21255.0
1,5,3,61668.0,52200.0,53569.0,12906.0
1,5,4,86762.0,72124.0,74047.0,9557.0
1,5,5,134430.0,107199.0,110274.0,16056.0
1,5,6,398876.0,300060.0,320766.0,4318.0
1,6,0,5407.0,5723.0,5745.0,23466.0
1,6,1,17013.0,18561.0,18751.0,42514.0
1,6,2,36279.0,32515.0,33351.0,41718.0
1,6,3,61413.0,51857.0,53227.0,22114.0
1,6,4,86725.0,72257.0,74118.0,13753.0
1,6,5,134099.0,107660.0,110478.0,20503.0
1,6,6,494863.0,367463.0,391930.0,8325.0
1,7,0,5776.0,6188.0,6211.0,20884.0
1,7,1,16874.0,19361.0,19482.0,40367.0
1,7,2,35813.0,32218.0,33088.0,37823.0
1,7,3,61213.0,51608.0,52981.0,18923.0
1,7,4,86557.0,71961.0,73854.0,11328.0
1,7,5,132868.0,106968.0,109924.0,16031.0
1,7,6,491526.0,365177.0,390807.0,6493.0
2,0,0,4863.0,5012.0,5030.0,10197.0
2,0,1,17416.0,17333.0,17525.0,12664.0
2,0,2,36572.0,33016.0,33930.0,17782.0
2,0,3,61718.0,51574.0,53102.0,11284.0
2,0,4,86689.0,71082.0,73265.0,7947.0
2,0,5,136219.0,107563.0,111440.0,13134.0
2,0,6,384284.0,282642.0,302353.0,4271.0
4,1,0,5421.0,5827.0,5848.0,17425.0
4,1,1,17167.0,18931.0,19071.0,31157.0
4,1,2,36068.0,34039.0,35088.0,32505.0
4,1,3,61530.0,52424.0,53771.0,17669.0
4,1,4,86424.0,72399.0,74232.0,11201.0
4,1,5,130667.0,105494.0,108370.0,13142.0
4,1,6,394483.0,296297.0,317003.0,3086.0
4,2,0,5470.0,5805.0,5827.0,50825.0
4,2,1,17229.0,19034.0,19167.0,94924.0
4,2,2,35766.0,32286.0,33108.0,91316.0
4,2,3,61635.0,52184.0,53546.0,47380.0
4,2,4,86663.0,72193.0,74087.0,30896.0
4,2,5,133053.0,107069.0,110010.0,40177.0
4,2,6,394490.0,297184.0,317474.0,11560.0
4,3,0,5624.0,5999.0,6021.0,101028.0
4,3,1,17218.0,19253.0,19382.0,188968.0
4,3,2,35704.0,33389.0,34371.0,202244.0
4,3,3,61425.0,52265.0,53667.0,104683.0
4,3,4,86596.0,72063.0,73948.0,67303.0
4,3,5,133502.0,107220.0,110143.0,93801.0
4,3,6,453821.0,336591.0,360166.0,32185.0
4,4,0,5397.0,5811.0,5835.0,22928.0
