Zip,AGI Bracket,Filers,Itemizers,AGI,SLIncomeTax,PropertyTax,MortgageInterest,Contributions,contrib + mortgage,Total SALT,Exhibit: S-L Income Tax Effective Rate
0,"$100,000 under $200,000",1233950,1066590,139084.7458,9386.037852,8164.871147,8521.104137,3242.252892,11763.35703,17550.909,0.067484308
10001,"$100,000 under $200,000",2480,2240,141750.4464,13769.26606,6520.634921,8093.103448,2326.973684,10420.07713,20289.90098,0.097137373
10002,"$100,000 under $200,000",3530,3130,137491.6933,12966.33987,5553.781513,8501.851852,2662.162162,11164.01401,18520.12138,0.094306351
10003,"$100,000 under $200,000",6580,6140,142335.6678,13846.543,9670.873786,8560,2658.666667,11218.66667,23517.41679,0.097280908
10004,"$100,000 under $200,000",520,480,145660.4167,14548.93617,10475,12864.28571,2654.545455,15518.83117,25023.93617,0.099882566
10005,"$100,000 under $200,000",1360,1250,143745.6,15171.54472,8855,13450,2344.871795,15794.87179,24026.54472,0.105544411
10006,"$100,000 under $200,000",650,590,144196.6102,14074.57627,6677.777778,12062.5,1854.054054,13916.55405,20752.35405,0.097606846
10007,"$100,000 under $200,000",570,540,145703.7037,16417.30769,10986.66667,14616.66667,2734.210526,17350.87719,27403.97436,0.112675981
10009,"$100,000 under $200,000",5100,4440,137450.9009,12958.75576,5032.183908,6955.714286,2508.306709,9464.020995,17990.93967,0.094279162
10010,"$100,000 under $200,000",3950,3580,141760.8939,13614.82558,8095.495495,8041.237113,2702.181818,10743.41893,21710.32108,0.096040771
10011,"$100,000 under $200,000",6970,6570,143407.4581,14043.05772,8666.390041,9616.431925,2730.06012,12346.49205,22709.44776,0.09792418
10012,"$100,000 under $200,000",2790,2550,141590.9804,15048.4127,9450.877193,9930.434783,2569.767442,12500.20222,24499.28989,0.106280871
10013,"$100,000 under $200,000",2040,1850,141889.1892,14251.38122,12374.5098,12753.84615,3616.030534,16369.87669,26625.89102,0.100440219
10014,"$100,000 under $200,000",4620,4340,142465.8986,14189.3617,8565.116279,9909.345794,2501.257862,12410.60366,22754.47798,0.099598303
10016,"$100,000 under $200,000",7210,6710,140994.7839,14744.86983,9061.574074,9397.26776,2656.846473,12054.11423,23806.44391,0.104577414
10017,"$100,000 under $200,000",2840,2490,142651.8072,14071.96653,9803.370787,10133.33333,2972.891566,13106.2249,23875.33731,0.098645554
10018,"$100,000 under $200,000",1220,1110,142801.8018,14360.55046,10510,10187.5,2877.941176,13065.44118,24870.55046,0.10056281
10019,"$100,000 under $200,000",5270,4840,142052.4793,13794.926,8821.73913,9695.876289,2619.596542,12315.47283,22616.66513,0.097111476
10021,"$100,000 under $200,000",4970,4550,141985.9341,13635.25346,12031.37255,7525.268817,3906.702413,11431.97123,25666.62601,0.096032424
10022,"$100,000 under $200,000",4630,4250,143911.2941,14217.41294,11435.46798,8306.703911,3791.384615,12098.08853,25652.88092,0.098792892
