state_name,statefips,county_name,countyfips,totalrets,agi_stub,child_dep,avg_income_ALL,taxes_paid_ded,pre,post
AL,1,Autauga,1,3220,2,1,5374,1154.5454545454545,5675.415625,5693.18125
AL,1,Autauga,1,5500,3,2,17122,1150.0,19221.09965528895,19343.237918215615
AL,1,Autauga,1,5590,4,1,36144,1822.857142857143,32529.808248230176,33376.69573283859
AL,1,Autauga,1,3300,5,1,62048,2698.198198198198,52617.644914772725,54003.8625
AL,1,Autauga,1,2510,6,1,86878,3682.075471698113,72545.0033575376,74501.77822580647
AL,1,Autauga,1,3240,7,1,131425,5486.124401913876,105298.29058354419,108441.16149068323
AL,1,Autauga,1,400,8,1,329495,13080.555555555555,250247.095,267265.32749999996
AL,1,Baldwin,3,13420,2,1,5350,1275.7142857142858,5658.923484848485,5680.562878787879
AL,1,Baldwin,3,21380,3,1,17080,1446.5968586387435,17670.741842543757,17954.229296314024
AL,1,Baldwin,3,20750,4,1,36156,2046.9483568075116,32832.6039802323,33667.45808383234
AL,1,Baldwin,3,12130,5,1,61540,2999.074074074074,52504.04815265299,53862.26400679117
AL,1,Baldwin,3,8450,6,1,86556,3864.814814814815,72740.66058431062,74680.66666666667
AL,1,Baldwin,3,11720,7,1,133747,6148.976982097187,107892.7111829958,111029.88179465056
AL,1,Baldwin,3,3530,8,1,421541,18122.118380062304,314045.8558316471,333994.5594658033
AL,1,Barbour,5,1580,2,1,5870,380.0,6399.713375796178,6428.165605095542
AL,1,Barbour,5,3130,3,2,16896,1338.8888888888887,20282.2917274109,20394.174757281555
AL,1,Barbour,5,2460,4,1,35213,1891.111111111111,32082.456985406676,32941.196652719664
AL,1,Barbour,5,940,5,1,61272,2890.909090909091,52529.98901480111,53883.641304347824
AL,1,Barbour,5,560,6,1,86380,4020.0,72384.2462406015,74412.52631578948
AL,1,Barbour,5,650,7,1,132542,6053.488372093024,106696.76346153846,109554.42115384615
AL,1,Barbour,5,100,8,1,400550,16433.333333333336,303210.3,327790.3
AL,1,Bibb,7,1030,2,1,5730,0.0,6229.805825242717,6256.834951456311
AL,1,Bibb,7,2180,3,1,17022,1308.3333333333335,18147.66380585972,18450.483870967742
AL,1,Bibb,7,2090,4,1,36023,1713.3333333333333,32764.893704850365,33621.18627450981
AL,1,Bibb,7,1200,5,1,61708,2736.1111111111113,52519.47457627119,53896.694915254244
AL,1,Bibb,7,660,6,1,87074,3647.8260869565215,72591.35323383084,74649.83582089552
AL,1,Bibb,7,640,7,1,128330,5561.538461538463,103112.27951388889,106018.38095238095
AL,1,Bibb,7,80,8,1,629112,24471.428571428572,449193.25,467328.375
AL,1,Blount,9,3070,2,1,5359,1010.0,5755.618421052632,5778.835526315789
AL,1,Blount,9,5080,3,1,17079,1175.0,18017.75707554628,18316.317269076306
AL,1,Blount,9,5680,4,1,36396,1872.6190476190477,33353.22753368034,34199.44746376811
AL,1,Blount,9,3460,5,1,61600,2929.032258064516,52815.91069279406,54156.76832844575
AL,1,Blount,9,2160,6,1,86599,4051.6129032258063,72860.08688630493,74684.57209302325
AL,1,Blount,9,1950,7,1,127209,5880.46875,102736.71098711305,105663.56476683938
AL,1,Blount,9,290,8,1,388552,17842.30769230769,293076.7339901478,313692.45320197043
AL,1,Bullock,11,530,2,1,6138,0.0,6743.357142857143,6770.142857142857
AL,1,Bullock,11,1570,3,2,17524,1027.2727272727273,20846.032258064515,20965.232258064516
AL,1,Bullock,11,1020,4,2,34570,1834.782608695652,32986.34705882353,34098.69999999999
AL,1,Bullock,11,340,5,1,59400,2875.0,49968.693404634585,51303.24242424243
AL,1,Bullock,11,150,6,1,84700,4385.714285714286,70819.94666666667,72820.0
AL,1,Bullock,11,150,7,1,130860,6644.444444444444,106675.82857142857,110304.08571428573
AL,1,Bullock,11,30,8,2,277233,14100.0,252974.0,263913.0
AL,1,Butler,13,1250,2,1,5824,800.0,6402.136,6433.536000000001
AL,1,Butler,13,2710,3,2,16897,1075.0,20070.482320867985,20179.55223880597
AL,1,Butler,13,2150,4,1,34956,1826.6666666666667,31650.551448003513,32498.04245283019
AL,1,Butler,13,910,5,1,60400,2538.461538461538,51246.66666666667,52612.288888888885
AL,1,Butler,13,520,6,1,86240,3552.3809523809523,72542.85631349783,74504.37735849057
AL,1,Butler,13,510,7,1,130143,5913.333333333333,104702.83529411764,107948.7
AL,1,Butler,13,80,8,1,481888,18242.85714285714,359404.125,385292.875
