year,2018,,,,,,
ss_withholding_rate_employer,0.062,,,,,,
ss_withholding_rate_employee,0.062,,,,,,
medicare_withholding_rate_employer,0.0145,,,,,,
medicare_withholding_rate_employee,0.0145,,,,,,
ss_wage_base,128700,,,,,,
medicare_wage_base,inf,,,,,,
additional_medicare_tax_rate,0.009,,,,,,
additional_medicare_tax_threshold,200000,250000,200000,,,,
personal_exemption,4150,,,,,,
personal_exemption_po_threshold,266700,320000,293350,,,,
personal_exemption_po_rate,0.02,,,,,,
personal_exemption_po_amt,2500,,,,,,
standard_deduction,6500,13000,9550,,,,
taxable_ss_base_threshold,25000,32000,25000,,,,
taxable_ss_top_threshold,34000,44000,34000,,,,
taxable_ss_base_amt,0.5,,,,,,
taxable_ss_top_amt,0.85,,,,,,
itemized_limitation_threshold,266700,320000,293350,,,,
itemized_limitation_amt,0.8,,,,,,
itemized_limitation_rate,0.03,,,,,,
single_brackets,0,9525,38700,93700,195450,424950,426700
married_brackets,0,19050,77400,156150,237950,424950,480050
hoh_brackets,0,13600,51850,133850,216700,424950,453350
income_tax_rates,0.1,0.15,0.25,0.28,0.33,0.35,0.396
ctc_po_threshold,75000,110000,75000,,,,
ctc_credit,1000,,,,,,
ctc_po_rate,0.05,,,,,,
amt_exemption,55400,86200,55400,,,,
amt_exemption_po_threshold,123100,164100,123100,,,,
amt_exemption_po_rate,0.25,,,,,,
amt_rate_threshold,191500,,,,,,
amt_rates,0.26,0.28,,,,,
eitc_max,520,3468,5728,6444,,,
eitc_threshold,6800,10200,14320,14320,,,
eitc_phaseout_single,8510,18700,18700,18700,,,
eitc_phaseout_married,14200,24400,24400,24400,,,
eitc_max_income_single,15310,40402,45898,49298,,,
eitc_max_income_married,21000,46102,51598,54998,,,
cap_gains_lower_threshold,38700,77400,51850,,,,
cap_gains_upper_threshold,426700,480050,453350,,,,
cap_gains_lower_rate,0.15,,,,,,
cap_gains_upper_rate,0.2,,,,,,
additional_standard_deduction,1600,1300,1600,,,,
additional_ctc_threshold,3000,,,,,,
additional_ctc_rate,0.15,,,,,,
medical_expense_threshold,0.075,,,,,,
