,zip,Filers,Itemizers,AGI,pre-tcja-tax,current-law-tax
0,0,1233950,1066590,139084.7458,14100.12,13197.64
1,10001,2480,2240,141750.4464,14517.62,13784.1
2,10002,3530,3130,137491.6933,13509.39,12847.17
3,10003,6580,6140,142335.6678,13707.4,13912.85
4,10004,520,480,145660.4167,13236.91,14310.15
5,10005,1360,1250,143745.6,12838.55,13828.16
6,10006,650,590,144196.6102,14289.43,14322.25
7,10007,570,540,145703.7037,12194.71,13916.62
8,10009,5100,4440,137450.9009,14056.49,12838.2
9,10010,3950,3580,141760.8939,14084.29,13786.4
10,10011,6970,6570,143407.4581,13945.38,14148.64
11,10012,2790,2550,141590.9804,12905.37,13749.02
12,10013,2040,1850,141889.1892,11480.86,13293.25
13,10014,4620,4340,142465.8986,13632.7,13941.5
14,10016,7210,6710,140994.7839,12991.06,13617.85
15,10017,2840,2490,142651.8072,13225.06,13982.4
16,10018,1220,1110,142801.8018,13023.95,14015.4
17,10019,5270,4840,142052.4793,13587.59,13850.55
18,10021,4970,4550,141985.9341,12979.33,13835.91
19,10022,4630,4250,143911.2941,13397.58,14259.48
20,10023,7350,6760,143605.4734,13780.56,14192.2
21,10024,6280,5670,143726.455,13580.35,14218.82
22,10025,7580,6640,142708.7349,14459.44,13994.92
23,10026,1840,1640,137701.8293,13309.24,12788.89
24,10027,2380,2060,138521.8447,13742.48,13073.81
25,10028,5400,4900,140637.551,12923.71,13539.26
26,10029,1770,1500,135320.0,12867.19,12369.4
27,10030,660,580,132682.7586,11664.04,11163.51
28,10031,1430,1210,133251.2397,12495.53,11914.27
29,10032,1400,1180,132938.9831,12288.91,11845.58
30,10033,1910,1560,137064.7436,13561.97,12753.24
31,10034,1470,1180,136645.7627,13807.67,12661.07
32,10035,990,870,134370.1149,12921.09,12160.43
33,10036,3710,3360,140137.5,12540.43,13101.03
34,10037,910,790,131170.8861,12205.46,11456.59
35,10038,2210,2020,142277.7228,14589.63,13900.1
36,10039,680,610,132404.918,12719.31,11728.08
37,10040,1370,1140,136724.5614,13652.74,12678.4
38,10044,850,680,142423.5294,14663.1,13932.18
39,10065,3220,2920,143210.9589,12789.5,14105.41
40,10069,560,510,149509.8039,13563.32,14469.87
41,10075,3070,2820,140815.9574,12837.23,13578.51
42,10128,6410,5760,141827.2569,13067.32,13801.0
43,10280,1210,150,145477.2727,13784.51,14604.0
44,10282,390,1100,146742.8571,13098.03,14882.43
45,10301,2480,350,138441.3636,13590.32,13056.1
46,10302,990,2200,135962.2222,13204.25,12510.69
47,10303,1210,900,130630.0885,11734.33,11337.05
48,10304,2290,1130,136630.4762,12715.43,12546.33
49,10305,3010,2100,135844.8905,13216.02,12484.88
50,10306,5240,2740,138243.1866,13730.4,13012.5
51,10307,1490,4770,140509.8592,13573.49,13277.41
52,10308,3080,1420,139491.844,13944.48,13287.21
53,10309,3480,2820,141077.9817,13878.18,13483.2
54,10310,1830,3270,139701.1905,14005.39,13333.26
55,10312,6890,1680,138952.0701,13679.39,13168.46
56,10314,7880,6280,138407.0028,13698.23,13048.54
57,10451,700,7140,125201.6667,11583.18,10143.37
58,10452,500,600,124275.6098,9964.45,9939.63
59,10453,560,410,128595.8333,11243.12,10890.08
60,10454,230,480,150804.7619,17517.75,15776.05
61,10455,270,210,139363.6364,14999.32,13259.0
62,10456,520,220,124133.3333,10685.96,9908.33
63,10457,460,450,123402.5641,9997.05,9747.56
64,10458,760,390,126375.8065,10916.83,10401.68
65,10459,350,620,133553.125,12805.47,11980.69
66,10460,480,320,127764.2857,11127.74,10707.14
67,10461,2530,420,132262.6168,12067.36,11696.78
68,10462,2360,2140,127392.8205,11288.96,10625.42
69,10463,4270,1950,137925.5618,14482.4,12942.62
70,10464,420,3560,138869.4444,13822.62,13150.28
71,10465,3060,360,135426.9091,12918.59,12392.92
72,10466,1890,2750,129983.7209,11040.39,10815.32
73,10467,1690,1720,127599.2958,11136.98,10670.85
74,10468,840,1420,126197.1429,11414.06,10362.37
75,10469,2690,700,132452.0492,11681.45,11437.58
76,10470,860,2440,133417.1053,12599.24,11950.76
77,10471,2060,760,138883.6158,14254.03,13153.4
78,10472,720,1770,127606.4516,10839.22,10672.42
79,10473,1620,620,129651.3699,11280.4,10890.57
80,10474,70,1460,160783.3333,20003.33,17971.33
81,10475,1790,60,126022.2973,12456.7,10323.91
82,10501,150,1480,147728.5714,15343.49,15099.29
83,10502,640,140,147551.6667,14109.17,15060.37
84,10504,800,600,146563.7681,13272.58,14312.28
85,10505,100,690,152100.0,15615.63,16000.94
86,10506,440,90,147590.0,12421.39,14113.97
87,10507,440,400,139935.1351,13261.56,13384.73
88,10509,2110,370,141114.359,14725.11,13644.16
89,10510,1020,1950,146686.3158,14020.85,14753.57
90,10511,230,950,135580.9524,13236.02,12426.81
91,10512,2880,210,140304.9242,14331.6,13466.08
92,10514,840,2640,148594.8718,12972.48,14464.18
93,10516,650,780,143516.0714,15128.08,14172.54
94,10518,160,560,146214.2857,14779.24,14349.33
95,10520,1390,140,144162.0968,14769.41,14314.66
96,10522,1100,1240,143254.8387,13880.73,14115.06
97,10523,840,930,138965.6716,13274.13,13168.99
98,10524,500,670,140886.9565,13778.0,13594.13
99,10526,210,460,143036.8421,14039.22,14019.62
100,10527,120,190,148554.5455,15005.45,14990.6
101,10528,980,110,142762.3377,13496.06,13876.03
102,10530,1820,770,141623.1707,14637.67,13756.1
103,10532,700,1640,143387.5,14506.11,14144.25
104,10533,770,640,144711.9403,13911.22,14435.63
105,10535,70,670,172200.0,21802.5,20483.0
106,10536,1000,60,148655.4348,14469.01,15055.35
107,10537,230,920,134376.1905,13397.02,12161.76
108,10538,1300,210,145772.4138,13559.36,14570.34
109,10541,3110,1160,142210.3448,14388.65,13885.28
