,zip,Filers,Itemizers,AGI,pre-tcja-tax,current-law-tax
0,0,1233950,1066590,139084.7458,22416.48,22446.63
1,10001,2480,2240,141750.4464,22772.08,23408.79
2,10002,3530,3130,137491.6933,21866.87,22208.14
3,10003,6580,6140,142335.6678,21808.63,23357.58
4,10004,520,480,145660.4167,21113.69,23123.48
5,10005,1360,1250,143745.6,20779.52,22597.67
6,10006,650,590,144196.6102,22348.51,23156.71
7,10007,570,540,145703.7037,19946.43,22694.18
8,10009,5100,4440,137450.9009,22479.61,22606.35
9,10010,3950,3580,141760.8939,22286.75,23333.69
10,10011,6970,6570,143407.4581,22019.18,23344.13
11,10012,2790,2550,141590.9804,20966.37,22871.29
12,10013,2040,1850,141889.1892,19370.91,22014.14
13,10014,4620,4340,142465.8986,21724.98,23102.77
14,10016,7210,6710,140994.7839,21118.33,22835.26
15,10017,2840,2490,142651.8072,21268.42,22980.44
16,10018,1220,1110,142801.8018,21043.18,23026.23
17,10019,5270,4840,142052.4793,21674.45,23026.38
18,10021,4970,4550,141985.9341,21049.2,23222.45
19,10022,4630,4250,143911.2941,21405.64,23524.67
20,10023,7350,6760,143605.4734,21834.57,23557.81
21,10024,6280,5670,143726.455,21610.34,23326.24
22,10025,7580,6640,142708.7349,22650.92,23246.7
23,10026,1840,1640,137701.8293,21642.7,21463.92
24,10027,2380,2060,138521.8447,22071.93,21950.78
25,10028,5400,4900,140637.551,21042.91,22911.51
26,10029,1770,1500,135320.0,21259.6,21314.49
27,10030,660,580,132682.7586,20080.07,19690.78
28,10031,1430,1210,133251.2397,20955.34,20667.8
29,10032,1400,1180,132938.9831,20779.92,20649.62
30,10033,1910,1560,137064.7436,21925.76,21874.03
31,10034,1470,1180,136645.7627,22256.94,21940.85
32,10035,990,870,134370.1149,21375.97,20812.34
33,10036,3710,3360,140137.5,20613.63,21804.44
34,10037,910,790,131170.8861,20742.46,20385.51
35,10038,2210,2020,142277.7228,22796.73,23505.0
36,10039,680,610,132404.918,21261.98,20401.15
37,10040,1370,1140,136724.5614,22083.42,21781.55
38,10044,850,680,142423.5294,22879.02,23391.95
39,10065,3220,2920,143210.9589,20724.59,23094.45
40,10069,560,510,149509.8039,21255.27,23297.72
41,10075,3070,2820,140815.9574,20946.04,22879.51
42,10128,6410,5760,141827.2569,21147.75,23011.72
43,10280,1210,150,145477.2727,21727.0,23710.99
44,10282,390,1100,146742.8571,21177.12,24073.59
45,10301,2480,350,138441.3636,21901.51,21879.23
46,10302,990,2200,135962.2222,21637.11,21301.35
