,gross_income,employee_payroll_tax,employer_payroll_tax,ordinary_income_after_401k,agi_before_business_income_deduction,agi,taxable_income,deduction_type,deductions,personal_exemption_amt,pease_limitation_amt,income_tax_before_credits,qualified_income_tax,selected_tax_before_credits,amt,income_tax_before_credits_with_amt,ctc,actc,eitc,income_tax_after_nonrefundable_credits,income_tax_after_credits,tax_burden,tax_wedge,avg_effective_tax_rate,avg_effective_tax_rate_wo_payroll
0,10.0,0.57375,0.57375,7.5,7.5,9.5625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,3.0,0.0,-3.0,-2.43,-1.85,-0.243,-0.3
1,20.0,1.1475,1.1475,15.0,15.0,19.125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,6.0,0.0,-6.0,-4.85,-3.71,-0.2425,-0.3
2,30.0,1.72125,1.72125,22.5,22.5,28.6875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,9.0,0.0,-9.0,-7.28,-5.56,-0.2427,-0.3
3,40.0,2.295,2.295,30.0,30.0,38.25,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,12.0,0.0,-12.0,-9.71,-7.41,-0.2428,-0.3
4,50.0,2.8687500000000004,2.8687500000000004,37.5,37.5,47.8125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,15.0,0.0,-15.0,-12.13,-9.26,-0.2426,-0.3
5,60.0,3.4425,3.4425,45.0,45.0,57.375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,18.0,0.0,-18.0,-14.56,-11.12,-0.2427,-0.3
6,70.0,4.01625,4.01625,52.5,52.5,66.9375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,21.0,0.0,-21.0,-16.98,-12.97,-0.2426,-0.3
7,80.0,4.59,4.59,60.0,60.0,76.5,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,24.0,0.0,-24.0,-19.41,-14.82,-0.2426,-0.3
8,90.0,5.163749999999999,5.163749999999999,67.5,67.5,86.0625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,27.0,0.0,-27.0,-21.84,-16.67,-0.2427,-0.3
9,100.0,5.737500000000001,5.737500000000001,75.0,75.0,95.625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,30.0,0.0,-30.0,-24.26,-18.52,-0.2426,-0.3
10,110.0,6.31125,6.31125,82.5,82.5,105.1875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,33.0,0.0,-33.0,-26.69,-20.38,-0.2426,-0.3
11,120.0,6.885,6.885,90.0,90.0,114.75,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,36.0,0.0,-36.0,-29.12,-22.23,-0.2427,-0.3
12,130.0,7.45875,7.45875,97.5,97.5,124.3125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,39.0,0.0,-39.0,-31.54,-24.08,-0.2426,-0.3
13,140.0,8.0325,8.0325,105.0,105.0,133.875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,42.0,0.0,-42.0,-33.97,-25.94,-0.2426,-0.3
14,150.0,8.60625,8.60625,112.5,112.5,143.4375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,45.0,0.0,-45.0,-36.39,-27.79,-0.2426,-0.3
