filing_status,child_dep,nonchild_dep,ordinary_income1,ordinary_income2,business_income,ss_income,qualified_income,401k_contributions,medical_expenses,sl_income_tax,sl_property_tax,interest_paid,charity_contributions,other_itemized
0,0,0,30000,0,0,0,0,2600,0,0,0,0,0,0
2,2,0,52000,0,0,0,0,1500,0,0,0,0,0,0
1,2,0,85000,0,0,0,0,5500,0,0,0,0,0,0
1,2,0,100000,65000,0,0,0,20000,0,8250,3400,5590,8500,0
1,2,0,250000,75000,0,0,0,37000,0,16250,10625,13975,8125,0
1,2,0,2000000,0,0,0,0,18500,0,100000,31250,41103,50000,0
1,2,0,800000,0,200000,0,0,18500,0,50000,18750,24662,25000,0
1,0,0,31200,0,0,16800,0,0,0,0,0,0,0,0
1,2,0,325000,0,0,0,0,0,0,16250,10625,13975,8125,0
1,2,0,25000,0,0,0,0,500,0,0,0,0,0,0
1,2,2,800000,500000,100000,0,60000,37000,20000,20000,15000,8000,10000,0
1,0,0,0,0,100000,0,60000,37000,20000,20000,15000,8000,10000,0
1,0,0,10000,0,0,32184,5000,0,25000,1000,3000,0,500,0
0,0,0,100,0,0,0,100,0,0,0,0,0,0,0
0,0,0,10000,0,0,0,10000,0,0,0,0,0,0,0
2,2,0,2000,0,0,0,0,0,0,0,0,0,0,0
